     Conf.     atoms         Ref. total energy(Ha)           NN total energy(Ha)     E(Ref.) - E(NN) (Ha/atom)
        55        64                   -8.31804877                   -8.33270136                    0.00022895
        56         6                   -0.77177946                   -0.77185825                    0.00001313
        57         6                   -0.69274105                   -0.69560284                    0.00047696
        58         8                   -1.06241470                   -1.06919453                    0.00084748
        59         8                   -1.00210118                   -1.00365846                    0.00019466
        60         1                   -0.09967141                   -0.09973751                    0.00006610
        61         7                   -0.81583669                   -0.81686522                    0.00014693
        62         8                   -1.04567096                   -1.04436235                   -0.00016358
        63         8                   -0.95716497                   -0.96992038                    0.00159443
        64         8                   -0.88531750                   -0.88720435                    0.00023586
        65         8                   -0.96877811                   -0.97378536                    0.00062591
        66         4                   -0.54074707                   -0.53980467                   -0.00023560
        67         8                   -0.86197427                   -0.86238514                    0.00005136
        68         9                   -1.16273742                   -1.16034783                   -0.00026551
        69         8                   -0.83679576                   -0.84494015                    0.00101805
        70         4                   -0.48802282                   -0.49048629                    0.00061587
        71         4                   -0.51630115                   -0.51718004                    0.00021972
        72         4                   -0.49189007                   -0.49110764                   -0.00019561
        73        16                   -1.78585850                   -1.78443371                   -0.00008905
        74         1                   -0.10641857                   -0.10786484                    0.00144626
        75         1                   -0.10407141                   -0.10429863                    0.00022722
        76         8                   -1.05366441                   -1.05956181                    0.00073718
        77         3                   -0.39292255                   -0.39049049                   -0.00081069
        78         8                   -1.04133345                   -1.04264820                    0.00016434
        79         6                   -0.67720980                   -0.67813337                    0.00015393
        80        12                   -1.53067905                   -1.53333854                    0.00022162
        81         3                   -0.34925371                   -0.34889525                   -0.00011949
        82         8                   -0.78769807                   -0.80779613                    0.00251226
        83         1                   -0.13224092                   -0.13109552                   -0.00114540
        84         9                   -1.08850672                   -1.08778806                   -0.00007985
        85         2                   -0.21080140                   -0.21073946                   -0.00003097
        86         4                   -0.53929104                   -0.53823075                   -0.00026507
        87         8                   -0.91733243                   -0.91590956                   -0.00017786
        88         8                   -0.77667794                   -0.79093154                    0.00178170
        89         6                   -0.73538036                   -0.73455198                   -0.00013806
        90         3                   -0.36491930                   -0.36591569                    0.00033213
        91         4                   -0.54323370                   -0.54229584                   -0.00023447
        92         4                   -0.50644358                   -0.50600748                   -0.00010903
        93        16                   -2.04133301                   -2.04421319                    0.00018001
        94         6                   -0.77252174                   -0.77317859                    0.00010947
        95         4                   -0.51393663                   -0.51178678                   -0.00053746
        96         6                   -0.70108045                   -0.70064778                   -0.00007211
        97         4                   -0.41297305                   -0.41336093                    0.00009697
        98         9                   -1.12224393                   -1.12157340                   -0.00007450
        99         8                   -1.02004360                   -1.02253565                    0.00031151
       100         1                   -0.10615511                   -0.10621511                    0.00006000
       101         2                   -0.22274963                   -0.22347252                    0.00036145
       102         8                   -1.06434965                   -1.06127148                   -0.00038477
       103         7                   -0.81856785                   -0.81890117                    0.00004762
       104         7                   -0.90379162                   -0.90400034                    0.00002982
       105         4                   -0.53823876                   -0.53766097                   -0.00014445
       106         1                   -0.10911284                   -0.10663095                   -0.00248189
       107         3                   -0.30654396                   -0.30697156                    0.00014253
       108         3                   -0.39818522                   -0.39853253                    0.00011577
       109         4                   -0.52334325                   -0.52355029                    0.00005176
       110         6                   -0.75123211                   -0.75041097                   -0.00013686
       111         4                   -0.46196564                   -0.46137300                   -0.00014816
       112         4                   -0.50443982                   -0.50359374                   -0.00021152
       113        10                   -1.16887064                   -1.16155955                   -0.00073111
       114        16                   -1.54122500                   -1.54014912                   -0.00006724
       115        64                   -8.39916688                   -8.41323883                    0.00021987
       116         4                   -0.42045798                   -0.41837108                   -0.00052172
       117         8                   -1.07791354                   -1.07628957                   -0.00020300
       118         3                   -0.39362739                   -0.39503688                    0.00046983
       119        16                   -1.71878147                   -1.71966471                    0.00005520
       120         8                   -1.06348104                   -1.06567271                    0.00027396
       121         8                   -0.91517669                   -0.91721298                    0.00025454
       122         8                   -1.05301508                   -1.04790277                   -0.00063904
       123         8                   -0.97834113                   -0.97499618                   -0.00041812
       124        10                   -1.25395579                   -1.24535177                   -0.00086040
       125         4                   -0.37676539                   -0.37776440                    0.00024975
       126         7                   -0.66749725                   -0.66560194                   -0.00027076
       127         4                   -0.51047471                   -0.50788755                   -0.00064679
       128         5                   -0.55586579                   -0.55385690                   -0.00040178
       129         1                   -0.09718299                   -0.09709729                   -0.00008570
       130         4                   -0.48284870                   -0.48323847                    0.00009744
       131         8                   -0.99443500                   -1.00135050                    0.00086444
       132         4                   -0.43501456                   -0.43387136                   -0.00028580
       133         4                   -0.48513532                   -0.48340710                   -0.00043205
       134        10                   -1.12729173                   -1.12950023                    0.00022085
       135         8                   -1.06070406                   -1.05840509                   -0.00028737
       136         9                   -1.18785070                   -1.18487554                   -0.00033057
       137         2                   -0.19453818                   -0.19425023                   -0.00014398
       138         2                   -0.26601336                   -0.26593161                   -0.00004087
       139         4                   -0.50459496                   -0.49821972                   -0.00159381
       140         4                   -0.51499979                   -0.51508139                    0.00002040
       141         2                   -0.27125925                   -0.27046553                   -0.00039686
       142         8                   -1.07113236                   -1.07276213                    0.00020372
       143         8                   -1.04739617                   -1.04750266                    0.00001331
       144         8                   -0.99192645                   -0.99149771                   -0.00005359
       145         3                   -0.27988783                   -0.29002283                    0.00337833
       146         4                   -0.52687551                   -0.52652589                   -0.00008740
       147         2                   -0.23108305                   -0.22959098                   -0.00074603
       148        64                   -8.36696411                   -8.40265698                    0.00055770
       149        16                   -1.54773110                   -1.54744215                   -0.00001806
       150         4                   -0.50833252                   -0.50591905                   -0.00060337
       151         2                   -0.19460975                   -0.19426186                   -0.00017395
       152        64                   -8.37208948                   -8.40627832                    0.00053420
       153        64                   -7.40358688                   -7.41841602                    0.00023171
       154         8                   -1.06876717                   -1.07351387                    0.00059334
       155         3                   -0.32052893                   -0.32050365                   -0.00000843
       156         4                   -0.53026519                   -0.52920252                   -0.00026567
       157         4                   -0.42247282                   -0.42235622                   -0.00002915
       158         1                   -0.09532708                   -0.09864947                    0.00332238
       159         8                   -1.02821711                   -1.03277025                    0.00056914
       160        16                   -1.87845197                   -1.87672130                   -0.00010817
       161       108                  -12.97384852                  -12.98394467                    0.00009348
       162         8                   -0.95333179                   -0.95660468                    0.00040911
       163         6                   -0.72844407                   -0.72886652                    0.00007041
       164         8                   -1.06415472                   -1.06557660                    0.00017774
       165         4                   -0.53684739                   -0.53856256                    0.00042879
       166         4                   -0.49331123                   -0.49260138                   -0.00017746
       167         3                   -0.37909522                   -0.37654449                   -0.00085024
       168        16                   -2.02059727                   -2.01852991                   -0.00012921
       169         3                   -0.35107606                   -0.35366611                    0.00086335
       170         8                   -1.01963188                   -1.01941235                   -0.00002744
       171         4                   -0.47108108                   -0.46982813                   -0.00031324
       172         6                   -0.78090888                   -0.77979536                   -0.00018559
       173         8                   -1.05654844                   -1.06261709                    0.00075858
       174         8                   -1.05124146                   -1.05275424                    0.00018910
       175        12                   -1.23857704                   -1.24317173                    0.00038289
       176        16                   -1.52455571                   -1.52833083                    0.00023595
       177        16                   -1.53741406                   -1.54074917                    0.00020844
       178         8                   -0.97114835                   -0.97112227                   -0.00000326
       179         1                   -0.11910516                   -0.12322807                    0.00412291
       180         8                   -0.90490460                   -0.90283762                   -0.00025837
       181         8                   -0.96232771                   -0.96227145                   -0.00000703
       182         4                   -0.53027080                   -0.53056034                    0.00007238
       183        10                   -1.19795134                   -1.19715470                   -0.00007966
       184         8                   -1.01148237                   -1.01368850                    0.00027577
       185         8                   -1.00120982                   -1.00427426                    0.00038305
       186         4                   -0.53368391                   -0.53267029                   -0.00025340
       187         8                   -0.85630332                   -0.85620950                   -0.00001173
       188         4                   -0.53636950                   -0.53858552                    0.00055400
       189         4                   -0.49228071                   -0.49151402                   -0.00019167
       190         4                   -0.48001662                   -0.47917398                   -0.00021066
       191         6                   -0.80241268                   -0.79866566                   -0.00062450
       192         8                   -1.00072484                   -1.00252353                    0.00022484
       193         4                   -0.49948021                   -0.50232744                    0.00071181
       194        16                   -2.11445962                   -2.11463451                    0.00001093
       195         8                   -0.89884239                   -0.89277999                   -0.00075780
       196        10                   -1.27594720                   -1.27528095                   -0.00006662
       197         3                   -0.39197103                   -0.39323738                    0.00042212
       198         5                   -0.61321240                   -0.61159299                   -0.00032388
       199         8                   -0.77313804                   -0.77375470                    0.00007708
       200        16                   -1.98551907                   -1.98804526                    0.00015789
       201         2                   -0.22363866                   -0.22375798                    0.00005966
       202         8                   -0.86195725                   -0.86231761                    0.00004504
       203         8                   -0.96013720                   -0.96305050                    0.00036416
       204        16                   -1.53697210                   -1.53807534                    0.00006895
       205         8                   -1.03207206                   -1.03526320                    0.00039889
       206         8                   -0.99671709                   -0.99879599                    0.00025986
       207         6                   -0.74589605                   -0.74660444                    0.00011806
       208         4                   -0.46592697                   -0.46666315                    0.00018404
       209        10                   -1.04050156                   -1.04302740                    0.00025258
       210         3                   -0.37950333                   -0.37871340                   -0.00026331
       211         4                   -0.48849344                   -0.48791741                   -0.00014401
       212         2                   -0.22966272                   -0.22159518                   -0.00403377
       213         4                   -0.54045947                   -0.53829079                   -0.00054217
       214         1                   -0.11682687                   -0.11407306                   -0.00275381
       215        16                   -1.52014987                   -1.52107510                    0.00005783
       216         6                   -0.69975214                   -0.69554487                   -0.00070121
       217         5                   -0.63206147                   -0.63290811                    0.00016933
       218         8                   -0.91811944                   -0.91976265                    0.00020540
       219         7                   -0.91912133                   -0.91702849                   -0.00029898
       220         4                   -0.48718972                   -0.48631301                   -0.00021918
       221         4                   -0.54273649                   -0.54141977                   -0.00032918
       222        16                   -1.47811181                   -1.45557997                   -0.00140824
       223         8                   -1.05674444                   -1.05895627                    0.00027648
       224         4                   -0.51684422                   -0.51626254                   -0.00014542
       225         8                   -1.00749607                   -1.01273295                    0.00065461
       226         1                   -0.12592185                   -0.12505153                   -0.00087032
       227        10                   -1.19693272                   -1.19543239                   -0.00015003
       228        64                   -6.36799847                   -6.38018570                    0.00019043
       229        10                   -1.15680523                   -1.15418458                   -0.00026207
       230         8                   -0.94350705                   -0.94581639                    0.00028867
       231         3                   -0.36743699                   -0.36701110                   -0.00014197
       232         4                   -0.38838234                   -0.39063292                    0.00056265
       233         4                   -0.49828918                   -0.49740367                   -0.00022138
       234         6                   -0.76102851                   -0.76037619                   -0.00010872
       235         2                   -0.27002638                   -0.26972059                   -0.00015289
       236         8                   -0.98796748                   -0.98656639                   -0.00017514
       237         8                   -1.03948319                   -1.03954829                    0.00000814
       238         1                   -0.09736354                   -0.09715599                   -0.00020755
       239         8                   -1.05313852                   -1.06126140                    0.00101536
       240         1                   -0.12487278                   -0.12419465                   -0.00067813
       241         1                   -0.11000073                   -0.10811830                   -0.00188243
       242         4                   -0.38496677                   -0.38583667                    0.00021747
       243         4                   -0.50987395                   -0.50620434                   -0.00091740
       244         4                   -0.38728219                   -0.38804546                    0.00019082
       245         3                   -0.37315523                   -0.37330222                    0.00004900
       246         8                   -0.97897256                   -0.98148907                    0.00031456
       247         8                   -0.99025107                   -0.99451303                    0.00053275
       248         3                   -0.39282149                   -0.39173155                   -0.00036331
       249         4                   -0.45380272                   -0.45467268                    0.00021749
       250         1                   -0.10157929                   -0.10315060                    0.00157132
       251         8                   -1.04265665                   -1.04603351                    0.00042211
       252        64                   -8.37034548                   -8.40619509                    0.00056015
       253         3                   -0.28386614                   -0.31127743                    0.00913710
       254         8                   -0.89250883                   -0.89259387                    0.00001063
       255         1                   -0.09775251                   -0.09764703                   -0.00010548
       256         8                   -0.88449722                   -0.90646448                    0.00274591
       257         8                   -1.08600758                   -1.08526869                   -0.00009236
       258        10                   -1.22719109                   -1.22755145                    0.00003604
       259         3                   -0.37370977                   -0.37383984                    0.00004336
       260         8                   -1.07426217                   -1.07526025                    0.00012476
       261         1                   -0.10825301                   -0.10945890                    0.00120590
       262         8                   -1.01650503                   -1.03452673                    0.00225271
       263         4                   -0.53446229                   -0.53347496                   -0.00024683
       264         6                   -0.73042401                   -0.72438155                   -0.00100708
       265         2                   -0.26752795                   -0.26698096                   -0.00027349
       266         1                   -0.10288770                   -0.10285000                   -0.00003770
       267        10                   -1.22024371                   -1.21907249                   -0.00011712
       268        16                   -1.92150389                   -1.93098610                    0.00059264
       269         8                   -0.90880939                   -0.91087958                    0.00025877
       270         4                   -0.51739112                   -0.51788230                    0.00012280
       271        16                   -2.06102090                   -2.05844735                   -0.00016085
       272         2                   -0.24142476                   -0.24113574                   -0.00014451
       273         8                   -0.95862005                   -0.96127850                    0.00033231
       274         1                   -0.12056942                   -0.12094627                    0.00037685
       275         8                   -1.07541408                   -1.07379407                   -0.00020250
       276         8                   -0.92030748                   -0.92330774                    0.00037503
       277        55                   -7.10519313                   -7.02047848                   -0.00154027
       278         8                   -0.89840803                   -0.89868519                    0.00003464
       279        64                   -7.59301583                   -7.60789019                    0.00023241
       280         1                   -0.09537620                   -0.09785814                    0.00248193
       281         2                   -0.24217850                   -0.23687734                   -0.00265058
       282         3                   -0.27841620                   -0.27792069                   -0.00016517
       283         2                   -0.22840376                   -0.22811427                   -0.00014475
       284         6                   -0.69236618                   -0.68904458                   -0.00055360
       285         1                   -0.13417950                   -0.13400936                   -0.00017015
       286         3                   -0.39627047                   -0.39944955                    0.00105969
       287         6                   -0.69533650                   -0.69482154                   -0.00008583
       288        16                   -2.05956611                   -2.05707611                   -0.00015562
       289         8                   -1.05740438                   -1.06146364                    0.00050741
       290        16                   -1.53385359                   -1.55708925                    0.00145223
       291         1                   -0.10332758                   -0.10244699                   -0.00088059
       292         8                   -0.93990843                   -0.94130853                    0.00017501
       293        64                   -7.10488948                   -7.11843140                    0.00021159
       294         6                   -0.73170892                   -0.73084218                   -0.00014446
       295         8                   -1.00882070                   -1.01203445                    0.00040172
       296         1                   -0.11168760                   -0.11256330                    0.00087571
       297         6                   -0.75663070                   -0.75664979                    0.00000318
       298         1                   -0.11209707                   -0.11265205                    0.00055498
       299         1                   -0.12158297                   -0.12136766                   -0.00021531
       300         8                   -0.97948002                   -0.97142798                   -0.00100651
       301         4                   -0.52927259                   -0.52932842                    0.00001396
       302         8                   -1.00628618                   -1.00833279                    0.00025583
       303         9                   -1.20214085                   -1.20073130                   -0.00015662
       304        12                   -1.62896726                   -1.62790301                   -0.00008869
       305         4                   -0.52922796                   -0.52817223                   -0.00026393
       306         8                   -0.93669966                   -0.94802238                    0.00141534
       307         8                   -0.79512604                   -0.79571241                    0.00007330
       308         4                   -0.42416501                   -0.42412849                   -0.00000913
       309         2                   -0.21111820                   -0.21421693                    0.00154936
       310         8                   -1.03055530                   -1.03367142                    0.00038952
       311         1                   -0.12334365                   -0.12288864                   -0.00045501
       312         3                   -0.38165858                   -0.38013508                   -0.00050783
       313         7                   -0.80920629                   -0.80960082                    0.00005636
       314        16                   -1.89057405                   -1.88807973                   -0.00015589
       315        10                   -1.22178303                   -1.21954057                   -0.00022425
       316        12                   -1.52336544                   -1.52296298                   -0.00003354
       317         8                   -0.88012664                   -0.88013712                    0.00000131
       318         4                   -0.53146885                   -0.53135621                   -0.00002816
       319        16                   -1.58440485                   -1.58438753                   -0.00000108
       320         1                   -0.12606213                   -0.12461517                   -0.00144696
       321         8                   -0.77565083                   -0.77524676                   -0.00005051
       322         5                   -0.63122982                   -0.63013682                   -0.00021860
       323        16                   -1.94806631                   -1.94699783                   -0.00006678
       324         4                   -0.47994010                   -0.47823023                   -0.00042747
       325         8                   -0.91801983                   -0.91389179                   -0.00051600
       326         1                   -0.12995719                   -0.12770335                   -0.00225384
       327         1                   -0.09617840                   -0.09560069                   -0.00057770
       328         4                   -0.47148111                   -0.47068466                   -0.00019911
       329         2                   -0.20658997                   -0.20812883                    0.00076943
       330         7                   -0.69478290                   -0.69679216                    0.00028704
       331         8                   -1.02849635                   -1.02835744                   -0.00001736
       332         4                   -0.43048400                   -0.43057804                    0.00002351
       333        16                   -2.03123243                   -2.02907681                   -0.00013473
       334         7                   -0.81820030                   -0.81931283                    0.00015893
       335         8                   -1.01375903                   -1.01342263                   -0.00004205
       336         5                   -0.62560706                   -0.62504558                   -0.00011230
       337         4                   -0.54139223                   -0.54002201                   -0.00034255
       338         2                   -0.24504511                   -0.24648977                    0.00072233
       339         2                   -0.20623841                   -0.20464027                   -0.00079907
       340         4                   -0.54157728                   -0.54066413                   -0.00022829
       341         1                   -0.11516199                   -0.11496409                   -0.00019790
       342         6                   -0.69591208                   -0.69397680                   -0.00032255
       343         1                   -0.09735017                   -0.09728841                   -0.00006177
       344         9                   -1.18470914                   -1.18365606                   -0.00011701
       345         8                   -0.80455691                   -0.80420977                   -0.00004339
       346         1                   -0.13051310                   -0.13037292                   -0.00014018
       347         3                   -0.33362239                   -0.33326468                   -0.00011923
       348         3                   -0.36286225                   -0.37091737                    0.00268504
       349         8                   -0.77861950                   -0.77934987                    0.00009130
       350        16                   -1.54553195                   -1.54646064                    0.00005804
       351         4                   -0.41795121                   -0.41808304                    0.00003296
       352         8                   -1.07200694                   -1.07050236                   -0.00018807
       353         6                   -0.55751430                   -0.55533054                   -0.00036396
       354         8                   -0.97619771                   -0.97578767                   -0.00005126
       355         4                   -0.53881381                   -0.53754321                   -0.00031765
       356         1                   -0.13410497                   -0.13427636                    0.00017140
       357         8                   -1.00318062                   -1.00734193                    0.00052016
       358        16                   -1.58909306                   -1.58977702                    0.00004275
       359         8                   -0.84613314                   -0.84688304                    0.00009374
       360         2                   -0.24408013                   -0.24331635                   -0.00038189
       361        16                   -1.48952480                   -1.48575124                   -0.00023585
       362         4                   -0.51526954                   -0.51408785                   -0.00029542
       363         2                   -0.26513257                   -0.26460126                   -0.00026565
       364         4                   -0.43196004                   -0.43183264                   -0.00003185
       365        12                   -1.53082359                   -1.53333854                    0.00020958
       366         8                   -0.86806827                   -0.86778518                   -0.00003539
       367         8                   -1.07730610                   -1.07508643                   -0.00027746
       368        12                   -1.53937010                   -1.54281160                    0.00028679
       369         8                   -1.06382476                   -1.06952933                    0.00071307
       370         1                   -0.12393648                   -0.12177116                   -0.00216532
       371         2                   -0.26767997                   -0.26735178                   -0.00016410
       372         1                   -0.12561501                   -0.12475477                   -0.00086023
       373         4                   -0.48177796                   -0.48113068                   -0.00016182
       374         8                   -0.94047060                   -0.94196174                    0.00018639
       375         6                   -0.75654692                   -0.75170160                   -0.00080755
       376         1                   -0.12228479                   -0.12219095                   -0.00009384
       377         2                   -0.20354795                   -0.20741565                    0.00193385
       378         4                   -0.53627430                   -0.53700850                    0.00018355
       379         1                   -0.11275318                   -0.11364880                    0.00089562
       380         8                   -0.94446030                   -0.93775920                   -0.00083764
       381         1                   -0.09972394                   -0.09985608                    0.00013215
       382         4                   -0.53673508                   -0.53576889                   -0.00024155
       383         1                   -0.11957305                   -0.12119467                    0.00162162
       384         8                   -0.76548604                   -0.76447330                   -0.00012659
       385         2                   -0.20459549                   -0.20410336                   -0.00024607
       386         4                   -0.48231765                   -0.48303460                    0.00017924
       387        52                   -5.06268299                   -5.07423804                    0.00022221
       388        21                   -2.76812295                   -2.77109035                    0.00014130
       389         2                   -0.19269197                   -0.18845720                   -0.00211739
       390         8                   -1.03281924                   -1.03741347                    0.00057428
       391        64                   -7.57168947                   -7.58687721                    0.00023731
       392        16                   -1.94766766                   -1.94982185                    0.00013464
       393        16                   -2.05119204                   -2.04939153                   -0.00011253
       394         1                   -0.13245459                   -0.13230066                   -0.00015394
       395         1                   -0.13055820                   -0.12973586                   -0.00082234
       396         6                   -0.70048276                   -0.69553422                   -0.00082476
       397         8                   -0.99014100                   -0.98961249                   -0.00006606
       398         4                   -0.48404106                   -0.48312637                   -0.00022867
       399         4                   -0.44074704                   -0.44174145                    0.00024860
       400        16                   -1.53119251                   -1.53331089                    0.00013240
       401         8                   -0.93155000                   -0.93202613                    0.00005952
       402         8                   -0.75983898                   -0.75870923                   -0.00014122
       403        12                   -1.53846479                   -1.54030959                    0.00015373
       404         8                   -0.86232580                   -0.85613439                   -0.00077393
       405         3                   -0.38261480                   -0.37899323                   -0.00120719
       406        10                   -1.21055595                   -1.20968793                   -0.00008680
       407         6                   -0.61755969                   -0.61841910                    0.00014324
       408         1                   -0.13409184                   -0.13425211                    0.00016028
       409        58                   -7.44834270                   -7.47576245                    0.00047275
       410        10                   -1.13555399                   -1.13590259                    0.00003486
       411         1                   -0.11398817                   -0.11390689                   -0.00008127
       412         8                   -1.04390458                   -1.04298352                   -0.00011513
       413         8                   -1.06896268                   -1.06822853                   -0.00009177
       414         5                   -0.61379422                   -0.61248573                   -0.00026170
       415        16                   -1.54685023                   -1.54658009                   -0.00001688
       416         4                   -0.52314274                   -0.52580655                    0.00066595
       417         1                   -0.11042020                   -0.10869020                   -0.00173000
       418         8                   -0.90532272                   -0.90667769                    0.00016937
       419       108                  -13.32772641                  -13.36296501                    0.00032628
       420        56                   -7.21193203                   -7.20514341                   -0.00012123
       421         4                   -0.53795907                   -0.53867994                    0.00018022
       422         8                   -0.95887755                   -0.96073454                    0.00023212
       423         8                   -1.06263002                   -1.06026839                   -0.00029520
       424        64                   -6.65994259                   -6.67274982                    0.00020011
       425         8                   -0.91833680                   -0.91542171                   -0.00036439
       426         5                   -0.61772710                   -0.61418613                   -0.00070819
       427         1                   -0.11812516                   -0.11802071                   -0.00010446
       428        16                   -1.98362497                   -1.98178997                   -0.00011469
       429        10                   -1.18358198                   -1.18537577                    0.00017938
       430         8                   -1.01727607                   -1.01900136                    0.00021566
       431         4                   -0.39440488                   -0.40449124                    0.00252159
       432         6                   -0.79512146                   -0.79380378                   -0.00021961
       433         8                   -0.92594152                   -0.92089064                   -0.00063136
       434         1                   -0.12946461                   -0.12904433                   -0.00042028
       435         4                   -0.53606517                   -0.53591917                   -0.00003650
       436         9                   -0.96308982                   -0.95865018                   -0.00049329
       437         4                   -0.45089657                   -0.44985561                   -0.00026024
       438         1                   -0.10444589                   -0.10494007                    0.00049418
       439         2                   -0.26231199                   -0.26255584                    0.00012192
       440         4                   -0.52811508                   -0.52879510                    0.00017001
       441        10                   -1.33147977                   -1.33240795                    0.00009282
       442         8                   -1.04972106                   -1.05397847                    0.00053218
       443         8                   -0.87623708                   -0.87587896                   -0.00004476
       444         2                   -0.19475441                   -0.20243366                    0.00383962
       445         8                   -1.05729452                   -1.06500243                    0.00096349
       446        16                   -1.54403691                   -1.54346556                   -0.00003571
       447        64                   -8.63535703                   -8.61441390                   -0.00032724
       448         5                   -0.50121719                   -0.49914173                   -0.00041509
       449         8                   -1.08063681                   -1.08056688                   -0.00000874
       450         3                   -0.31351183                   -0.31321533                   -0.00009883
       451         4                   -0.44221254                   -0.44245210                    0.00005989
       452         4                   -0.47861253                   -0.48018463                    0.00039303
       453         7                   -0.85815976                   -0.85840325                    0.00003478
       454         8                   -0.91067839                   -0.91260534                    0.00024087
       455         8                   -1.03227323                   -1.03341381                    0.00014257
       456         6                   -0.64453582                   -0.64500335                    0.00007792
       457         6                   -0.80722073                   -0.80688095                   -0.00005663
       458         8                   -0.81108045                   -0.80897334                   -0.00026339
       459         4                   -0.53641736                   -0.53700852                    0.00014779
       460         8                   -0.79459616                   -0.79408357                   -0.00006407
       461         8                   -1.04123692                   -1.04223116                    0.00012428
       462         6                   -0.76746562                   -0.76612624                   -0.00022323
       463         6                   -0.72050167                   -0.72012594                   -0.00006262
       464         4                   -0.47125830                   -0.47148147                    0.00005579
       465         8                   -1.02791194                   -1.02850975                    0.00007473
       466         3                   -0.27960501                   -0.27899480                   -0.00020340
       467         2                   -0.22183318                   -0.22124268                   -0.00029525
       468         7                   -0.81470779                   -0.81228747                   -0.00034576
       469         4                   -0.46777013                   -0.46406652                   -0.00092590
       470        10                   -1.17745810                   -1.17700411                   -0.00004540
       471        55                   -6.83243743                   -6.73715082                   -0.00173248
       472        10                   -1.32023718                   -1.31789444                   -0.00023427
       473         8                   -1.07412164                   -1.07161326                   -0.00031355
       474         4                   -0.54212640                   -0.54112679                   -0.00024990
       475         8                   -0.88748889                   -0.88938297                    0.00023676
       476         8                   -1.05650397                   -1.06263988                    0.00076699
       477        16                   -1.71154395                   -1.71051087                   -0.00006457
       478        55                   -7.02683010                   -6.89511670                   -0.00239479
       479         2                   -0.26718954                   -0.26527374                   -0.00095790
       480        16                   -1.50220428                   -1.49824967                   -0.00024716
       481        58                   -6.65151306                   -6.69165856                    0.00069216
       482        24                   -3.00659394                   -2.99971929                   -0.00028644
       483         4                   -0.54282553                   -0.54162324                   -0.00030057
       484         3                   -0.35816709                   -0.35787017                   -0.00009897
       485         6                   -0.66612336                   -0.66915397                    0.00050510
       486         3                   -0.38498101                   -0.38368524                   -0.00043192
