     Conf.     atoms         Ref. total energy(Ha)           NN total energy(Ha)     E(Ref.) - E(NN) (Ha/atom)
        88        16                   -1.53626951                   -1.53730053                    0.00006444
        89         8                   -0.87909884                   -0.87919029                    0.00001143
        90         2                   -0.22560228                   -0.22720785                    0.00080278
        91         1                   -0.09873407                   -0.09947478                    0.00074071
        92         4                   -0.51988821                   -0.51924560                   -0.00016065
        93         1                   -0.11733919                   -0.11710579                   -0.00023339
        94         8                   -0.81844851                   -0.81481758                   -0.00045387
        95         1                   -0.09441471                   -0.09599493                    0.00158022
        96         4                   -0.45673812                   -0.45697230                    0.00005854
        97         8                   -0.99253748                   -0.99161101                   -0.00011581
        98         8                   -0.97091883                   -0.97051451                   -0.00005054
        99         8                   -0.88215909                   -0.88021939                   -0.00024246
       100         1                   -0.11857758                   -0.11853142                   -0.00004616
       101         4                   -0.50309120                   -0.50242834                   -0.00016571
       102         6                   -0.78364575                   -0.78259096                   -0.00017580
       103         1                   -0.11807713                   -0.11710414                   -0.00097299
       104         1                   -0.12280400                   -0.12321519                    0.00041119
       105         1                   -0.09646035                   -0.09790056                    0.00144021
       106         2                   -0.19404189                   -0.19377991                   -0.00013099
       107         8                   -0.84538660                   -0.84227858                   -0.00038850
       108         8                   -0.94744887                   -0.94924709                    0.00022478
       109        16                   -1.91031380                   -1.90829591                   -0.00012612
       110         4                   -0.53969175                   -0.53813980                   -0.00038799
       111         8                   -1.04269610                   -1.04818781                    0.00068646
       112         8                   -0.81758003                   -0.81455088                   -0.00037864
       113         8                   -1.03937697                   -1.03713429                   -0.00028033
       114         8                   -0.82734182                   -0.82427656                   -0.00038316
       115         1                   -0.12534343                   -0.12679781                    0.00145438
       116         7                   -0.73294589                   -0.72587558                   -0.00101004
       117        12                   -1.49991631                   -1.50166327                    0.00014558
       118         7                   -0.73223329                   -0.72896866                   -0.00046637
       119         1                   -0.13074448                   -0.12979006                   -0.00095442
       120        56                   -7.42580072                   -7.45462277                    0.00051468
       121         8                   -0.97291474                   -0.97413187                    0.00015214
       122         8                   -0.91633503                   -0.91397313                   -0.00029524
       123         8                   -1.00104696                   -1.00414140                    0.00038680
       124         4                   -0.53590959                   -0.53533264                   -0.00014424
       125         3                   -0.40333975                   -0.40272006                   -0.00020656
       126         1                   -0.11593455                   -0.11601200                    0.00007745
       127         1                   -0.13168021                   -0.13285600                    0.00117579
       128        16                   -2.06556985                   -2.06239994                   -0.00019812
       129         2                   -0.26553505                   -0.26565995                    0.00006245
       130         4                   -0.54031998                   -0.53939332                   -0.00023167
       131         1                   -0.10680664                   -0.10695803                    0.00015139
       132         5                   -0.61250984                   -0.61091953                   -0.00031806
       133         8                   -1.06487583                   -1.07041028                    0.00069181
       134         1                   -0.12402113                   -0.12266332                   -0.00135781
       135         3                   -0.38836708                   -0.38691802                   -0.00048302
       136         4                   -0.50161056                   -0.50082254                   -0.00019700
       137         2                   -0.26936704                   -0.26938609                    0.00000952
       138        10                   -1.24815096                   -1.24690164                   -0.00012493
       139        16                   -1.97574740                   -1.97870455                    0.00018482
       140         1                   -0.10347789                   -0.10309175                   -0.00038615
       141         6                   -0.70624419                   -0.70569425                   -0.00009166
       142         4                   -0.47562504                   -0.47101755                   -0.00115187
       143        10                   -1.23950205                   -1.23944442                   -0.00000576
       144         8                   -0.85727514                   -0.85743303                    0.00001974
       145        16                   -1.74134531                   -1.73252827                   -0.00055106
       146         8                   -0.79920983                   -0.79982274                    0.00007661
       147         2                   -0.24922203                   -0.24756719                   -0.00082742
       148         6                   -0.80548322                   -0.80578632                    0.00005052
       149         8                   -0.92849104                   -0.93063467                    0.00026795
       150        16                   -1.58382735                   -1.59074479                    0.00043234
       151        12                   -1.54126961                   -1.54055987                   -0.00005915
       152         4                   -0.50078244                   -0.49995485                   -0.00020690
       153         6                   -0.70187209                   -0.70484813                    0.00049601
       154         8                   -1.04413436                   -1.04253320                   -0.00020014
       155         3                   -0.27961369                   -0.28100520                    0.00046384
       156         2                   -0.19504258                   -0.19475305                   -0.00014476
       157         4                   -0.50286226                   -0.49951784                   -0.00083610
       158         7                   -0.64854290                   -0.64184323                   -0.00095710
       159        16                   -2.10402982                   -2.09757188                   -0.00040362
       160         4                   -0.51908995                   -0.51834902                   -0.00018523
       161         4                   -0.47114594                   -0.47048891                   -0.00016426
       162        42                   -5.53316629                   -5.54162972                    0.00020151
       163         3                   -0.30290543                   -0.30286892                   -0.00001217
       164         3                   -0.37112428                   -0.36934336                   -0.00059364
       165         8                   -0.91042917                   -0.90690501                   -0.00044052
       166         3                   -0.36616897                   -0.36406896                   -0.00070000
       167         8                   -1.05357887                   -1.05975387                    0.00077187
       168        64                   -8.06443417                   -8.07759568                    0.00020565
       169         6                   -0.75764958                   -0.75884073                    0.00019853
       170         6                   -0.80630212                   -0.80442686                   -0.00031254
       171         1                   -0.13405005                   -0.13444654                    0.00039649
       172         4                   -0.51275473                   -0.51208215                   -0.00016815
       173        64                   -7.01873148                   -7.03145336                    0.00019878
       174         8                   -0.90376327                   -0.90545143                    0.00021102
       175        16                   -1.54506944                   -1.54400973                   -0.00006623
       176         8                   -1.06324490                   -1.06902912                    0.00072303
       177        16                   -1.84468421                   -1.84772715                    0.00019018
       178         6                   -0.78093922                   -0.78293206                    0.00033214
       179         4                   -0.45080840                   -0.45151585                    0.00017686
       180        10                   -1.22538199                   -1.22425333                   -0.00011287
       181        64                   -8.39897723                   -8.42846541                    0.00046075
       182         8                   -0.84625147                   -0.84611769                   -0.00001672
       183         1                   -0.10146168                   -0.10488449                    0.00342280
       184         5                   -0.57849106                   -0.57461517                   -0.00077518
       185         4                   -0.52434498                   -0.51516538                   -0.00229490
       186        16                   -1.48975467                   -1.48467509                   -0.00031747
       187         1                   -0.09685949                   -0.09750842                    0.00064893
       188         1                   -0.13316599                   -0.13402987                    0.00086388
       189         8                   -0.83044658                   -0.82999778                   -0.00005610
       190         1                   -0.11371512                   -0.11147126                   -0.00224386
       191         2                   -0.24869848                   -0.25591158                    0.00360655
       192         8                   -1.06733781                   -1.06401628                   -0.00041519
       193         6                   -0.69765528                   -0.69667858                   -0.00016278
       194         8                   -1.05803663                   -1.06534678                    0.00091377
       195         1                   -0.09871603                   -0.09858529                   -0.00013074
       196         4                   -0.49503691                   -0.49433934                   -0.00017439
       197         4                   -0.53404839                   -0.53324108                   -0.00020183
       198         6                   -0.69002411                   -0.69035325                    0.00005486
       199         1                   -0.09482783                   -0.09331212                   -0.00151571
       200        10                   -1.02550182                   -1.01962047                   -0.00058814
       201        16                   -2.13061889                   -2.13233931                    0.00010753
       202         8                   -1.05321834                   -1.05799157                    0.00059665
       203         4                   -0.39629189                   -0.39717813                    0.00022156
       204         8                   -0.75862888                   -0.75099455                   -0.00095429
       205         4                   -0.53464818                   -0.53299820                   -0.00041250
       206         4                   -0.48820754                   -0.49047610                    0.00056714
       207         8                   -1.06439862                   -1.06489105                    0.00006155
       208        16                   -1.48142548                   -1.48083677                   -0.00003679
       209         9                   -1.09040415                   -1.09230261                    0.00021094
       210         1                   -0.11510773                   -0.11567183                    0.00056410
       211         1                   -0.09395487                   -0.09451998                    0.00056510
       212        64                   -8.34366442                   -8.38518764                    0.00064880
       213         7                   -0.82244737                   -0.82379834                    0.00019299
       214         4                   -0.52893971                   -0.52429167                   -0.00116201
       215         8                   -1.02775820                   -1.03404600                    0.00078597
       216         5                   -0.63528575                   -0.63577425                    0.00009770
       217        12                   -1.57245999                   -1.58325076                    0.00089923
       218         4                   -0.39416689                   -0.39485706                    0.00017254
       219        16                   -1.54378730                   -1.54517697                    0.00008685
       220         4                   -0.52217595                   -0.52187430                   -0.00007541
       221         8                   -0.85647191                   -0.86499589                    0.00106550
       222         2                   -0.21271354                   -0.21235079                   -0.00018137
       223         4                   -0.54032092                   -0.53936681                   -0.00023853
       224         5                   -0.63327469                   -0.63097549                   -0.00045984
       225         6                   -0.68053478                   -0.67810174                   -0.00040551
       226        64                   -7.49839344                   -7.51228685                    0.00021708
       227         8                   -0.83608327                   -0.83385049                   -0.00027910
       228         1                   -0.10487139                   -0.10484899                   -0.00002240
       229        12                   -1.43135237                   -1.43284197                    0.00012413
       230         8                   -1.00917815                   -1.01359287                    0.00055184
       231         2                   -0.20861054                   -0.20997123                    0.00068035
       232         8                   -0.80962570                   -0.80938818                   -0.00002969
       233         1                   -0.12211469                   -0.12562045                    0.00350576
       234         4                   -0.49365466                   -0.49333059                   -0.00008102
       235         2                   -0.26695219                   -0.26614379                   -0.00040420
       236         1                   -0.13552616                   -0.13521588                   -0.00031028
       237         8                   -1.03195270                   -1.03080472                   -0.00014350
       238         3                   -0.34262367                   -0.34088812                   -0.00057852
       239         1                   -0.12882607                   -0.12985111                    0.00102504
       240         6                   -0.80587614                   -0.80552304                   -0.00005885
       241        16                   -2.06445726                   -2.07278071                    0.00052022
       242         4                   -0.48647376                   -0.48599152                   -0.00012056
       243         8                   -1.06568979                   -1.07078693                    0.00063714
       244         1                   -0.10819104                   -0.10831385                    0.00012281
       245         1                   -0.10283458                   -0.10228211                   -0.00055247
       246         4                   -0.46019174                   -0.45961550                   -0.00014406
       247         5                   -0.64582653                   -0.64496639                   -0.00017203
       248         8                   -1.05262682                   -1.05118576                   -0.00018013
       249         4                   -0.53167279                   -0.53162661                   -0.00001155
       250         1                   -0.13429872                   -0.13399876                   -0.00029996
       251         6                   -0.77073259                   -0.77140580                    0.00011220
       252         8                   -1.06269832                   -1.06564081                    0.00036781
       253         7                   -0.83288376                   -0.83255187                   -0.00004741
       254         1                   -0.10141929                   -0.10154893                    0.00012964
       255        10                   -1.04707429                   -1.04290391                   -0.00041704
       256         8                   -1.00934990                   -1.00576819                   -0.00044771
       257        64                   -8.25194029                   -8.26465076                    0.00019860
       258         8                   -0.81473187                   -0.78844492                   -0.00328587
       259         5                   -0.62464803                   -0.62526542                    0.00012348
       260         4                   -0.47805065                   -0.47369930                   -0.00108784
       261         4                   -0.52930531                   -0.52803683                   -0.00031712
       262         6                   -0.74649009                   -0.74476067                   -0.00028824
       263         8                   -0.98625864                   -0.97727742                   -0.00112265
       264        10                   -1.19212870                   -1.19416055                    0.00020319
       265         8                   -0.76353596                   -0.78137720                    0.00223016
       266        16                   -1.57387867                   -1.57420516                    0.00002041
       267         1                   -0.11004907                   -0.11028542                    0.00023635
       268         6                   -0.61214699                   -0.61786399                    0.00095283
       269         5                   -0.62169256                   -0.62066321                   -0.00020587
       270         8                   -0.92696946                   -0.92752683                    0.00006967
       271         8                   -0.74122317                   -0.73777112                   -0.00043151
       272         1                   -0.12608008                   -0.12588368                   -0.00019640
       273         1                   -0.10994303                   -0.11008871                    0.00014569
       274         6                   -0.75141672                   -0.75062157                   -0.00013252
       275         4                   -0.47144085                   -0.47269331                    0.00031311
       276         8                   -1.06015906                   -1.06260053                    0.00030518
       277         1                   -0.11291423                   -0.11116123                   -0.00175300
       278         3                   -0.36088318                   -0.36069124                   -0.00006398
       279         3                   -0.40377543                   -0.40201069                   -0.00058825
       280         6                   -0.75172531                   -0.74648460                   -0.00087345
       281         8                   -0.81923054                   -0.81996079                    0.00009128
       282         4                   -0.51263652                   -0.51493177                    0.00057381
       283         1                   -0.10247093                   -0.10244672                   -0.00002422
       284         8                   -0.82756027                   -0.82530595                   -0.00028179
       285         1                   -0.11289725                   -0.11010369                   -0.00279356
       286        16                   -1.54176896                   -1.54382294                    0.00012837
       287         4                   -0.53019397                   -0.52922445                   -0.00024238
       288         8                   -0.94345252                   -0.93630780                   -0.00089309
       289         5                   -0.56082199                   -0.55929835                   -0.00030473
       290         3                   -0.39400851                   -0.39275503                   -0.00041783
       291         1                   -0.10967461                   -0.10991573                    0.00024113
       292        10                   -1.24739924                   -1.24701341                   -0.00003858
       293        56                   -5.54742172                   -5.55776382                    0.00018468
       294         2                   -0.19288047                   -0.19219046                   -0.00034500
       295         2                   -0.24955183                   -0.24610825                   -0.00172179
       296         8                   -1.00153914                   -1.00410430                    0.00032065
       297         6                   -0.73460907                   -0.73441922                   -0.00003164
       298         3                   -0.36704396                   -0.36882094                    0.00059233
       299         8                   -0.97086164                   -0.97007192                   -0.00009871
       300         8                   -0.89066030                   -0.88719133                   -0.00043362
       301         8                   -1.00040718                   -0.99920556                   -0.00015020
       302         4                   -0.53866972                   -0.53745263                   -0.00030427
       303         2                   -0.23232856                   -0.23089930                   -0.00071463
       304         8                   -0.96849918                   -0.96837899                   -0.00001502
       305        10                   -1.31235322                   -1.31002179                   -0.00023314
       306         8                   -0.98747656                   -0.98838116                    0.00011308
       307         1                   -0.12570529                   -0.12495228                   -0.00075300
       308         8                   -0.88574820                   -0.88342914                   -0.00028988
       309         4                   -0.46111765                   -0.46057381                   -0.00013596
       310        64                   -8.33938166                   -8.35096448                    0.00018098
       311         2                   -0.19431942                   -0.19332954                   -0.00049494
       312         5                   -0.63608961                   -0.63396461                   -0.00042500
       313         4                   -0.54287863                   -0.54167340                   -0.00030131
       314        16                   -1.53798445                   -1.54136952                    0.00021157
       315         2                   -0.22269496                   -0.22243266                   -0.00013115
       316         1                   -0.11846600                   -0.11831559                   -0.00015041
       317         4                   -0.53898893                   -0.53896494                   -0.00000600
       318         5                   -0.57421438                   -0.57215162                   -0.00041255
       319         8                   -1.01308579                   -1.01451179                    0.00017825
       320         2                   -0.25664240                   -0.25780469                    0.00058115
       321        10                   -1.27388114                   -1.27072193                   -0.00031592
       322         4                   -0.53081231                   -0.53165648                    0.00021104
       323         2                   -0.26112052                   -0.26074588                   -0.00018732
       324        10                   -1.14795413                   -1.14559108                   -0.00023630
       325         4                   -0.52784550                   -0.52875862                    0.00022828
       326         5                   -0.59879620                   -0.59684653                   -0.00038994
       327         1                   -0.10296965                   -0.10578771                    0.00281806
       328         9                   -1.09399236                   -1.09121293                   -0.00030882
       329         8                   -0.97442764                   -0.97722376                    0.00034951
       330         2                   -0.26230778                   -0.26222651                   -0.00004064
       331         8                   -0.80880968                   -0.82263668                    0.00172838
       332         8                   -1.03235286                   -1.02950377                   -0.00035614
       333         3                   -0.38530306                   -0.38488501                   -0.00013935
       334         4                   -0.47114959                   -0.47082174                   -0.00008196
       335         4                   -0.53955028                   -0.53876764                   -0.00019566
       336         2                   -0.25664444                   -0.25576826                   -0.00043809
       337         1                   -0.09711943                   -0.09703313                   -0.00008630
       338         8                   -0.98793165                   -0.98793998                    0.00000104
       339         1                   -0.10658306                   -0.10679433                    0.00021127
       340        16                   -1.50868266                   -1.51613587                    0.00046583
       341         4                   -0.52939662                   -0.52882268                   -0.00014348
       342         1                   -0.09304916                   -0.09062762                   -0.00242154
       343         8                   -0.80518491                   -0.80384730                   -0.00016720
       344         8                   -0.78556575                   -0.78490084                   -0.00008311
       345         8                   -0.96598454                   -0.97200440                    0.00075248
       346         6                   -0.72828292                   -0.72867957                    0.00006611
       347         7                   -0.87681725                   -0.87497167                   -0.00026365
       348         2                   -0.22150467                   -0.21874571                   -0.00137948
       349         3                   -0.38687223                   -0.38662966                   -0.00008086
       350         4                   -0.39076223                   -0.39154914                    0.00019673
       351         7                   -0.84077855                   -0.83870961                   -0.00029556
       352         8                   -1.03283566                   -1.03341541                    0.00007247
       353         2                   -0.26264034                   -0.26222353                   -0.00020841
       354         2                   -0.26745454                   -0.26737891                   -0.00003782
       355         8                   -0.73771406                   -0.77005226                    0.00404228
       356        64                   -6.35678986                   -6.36904062                    0.00019142
       357         8                   -1.03971333                   -1.04033592                    0.00007782
       358         7                   -0.80377482                   -0.80083391                   -0.00042013
       359         4                   -0.49069868                   -0.48998009                   -0.00017965
       360         4                   -0.46885021                   -0.46978337                    0.00023329
       361         2                   -0.27079575                   -0.27001797                   -0.00038889
       362         6                   -0.77886633                   -0.77695166                   -0.00031911
       363         8                   -0.93951305                   -0.94010051                    0.00007343
       364         4                   -0.43136981                   -0.43240582                    0.00025900
       365         2                   -0.24626693                   -0.24602348                   -0.00012172
       366         4                   -0.39284472                   -0.39345804                    0.00015333
       367         8                   -0.83570112                   -0.85064467                    0.00186794
       368         3                   -0.28301510                   -0.28237878                   -0.00021211
       369         8                   -0.91801178                   -0.91989764                    0.00023573
       370         4                   -0.50577029                   -0.50504143                   -0.00018222
       371         4                   -0.52513208                   -0.52441953                   -0.00017814
       372         6                   -0.78642686                   -0.78575898                   -0.00011131
       373         6                   -0.75356255                   -0.75319462                   -0.00006132
       374         3                   -0.35034575                   -0.34894813                   -0.00046587
       375         1                   -0.09881873                   -0.09798593                   -0.00083280
       376         6                   -0.72042208                   -0.71998989                   -0.00007203
       377         5                   -0.56776514                   -0.56861043                    0.00016906
       378        10                   -1.28865451                   -1.28997753                    0.00013230
       379        12                   -1.60892456                   -1.61102542                    0.00017507
       380         8                   -0.85858405                   -0.86444153                    0.00073218
       381         1                   -0.12748347                   -0.12767482                    0.00019135
       382         4                   -0.50689243                   -0.50630474                   -0.00014692
       383         8                   -1.08306193                   -1.08089778                   -0.00027052
       384         8                   -1.05296636                   -1.06254553                    0.00119740
       385         8                   -1.05293576                   -1.06576012                    0.00160305
       386        16                   -1.89561912                   -1.90270586                    0.00044292
       387         1                   -0.10547643                   -0.10502838                   -0.00044805
       388         8                   -0.95279017                   -0.95230404                   -0.00006077
       389         4                   -0.52822667                   -0.52780554                   -0.00010528
       390         4                   -0.53860392                   -0.53756383                   -0.00026002
       391        16                   -1.55016704                   -1.54996130                   -0.00001286
       392         4                   -0.52865444                   -0.52758900                   -0.00026636
       393        16                   -1.52570603                   -1.52791557                    0.00013810
       394         3                   -0.27843737                   -0.28511343                    0.00222535
       395         1                   -0.09203249                   -0.09275476                    0.00072226
       396         2                   -0.24739643                   -0.24820671                    0.00040514
       397         9                   -1.15741649                   -1.15689187                   -0.00005829
       398         7                   -0.83672400                   -0.83069403                   -0.00086142
       399         3                   -0.40126650                   -0.40163995                    0.00012448
       400         8                   -1.05827946                   -1.06735954                    0.00113501
       401         4                   -0.48325476                   -0.48229767                   -0.00023927
       402         4                   -0.53544919                   -0.53570608                    0.00006422
       403         1                   -0.12730504                   -0.12699654                   -0.00030850
       404         4                   -0.54000024                   -0.53909703                   -0.00022580
       405         1                   -0.11875196                   -0.11870138                   -0.00005058
