     Conf.      atom         Ref. Fx(Ha/Bohr)         Ref. Fy(Ha/Bohr)         Ref. Fz(Ha/Bohr)           NN Fx(Ha/Bohr)           NN Fy(Ha/Bohr)           NN Fz(Ha/Bohr)
        20         1              -0.00112306              -0.00143397               0.00083031              -0.00047853               0.00035930              -0.00031978
        20         2              -0.00137850              -0.00259028               0.00247935              -0.00056801              -0.00155524               0.00130609
        20         3               0.00066897              -0.00119078               0.00130247               0.00035332              -0.00094761               0.00158785
        20         4               0.00316318              -0.00072175               0.00115711               0.00181846              -0.00067312               0.00240038
        20         5              -0.00102450               0.00376119              -0.00120493              -0.00006796               0.00227429              -0.00107986
        20         6               0.00073242               0.00201209              -0.00433268              -0.00038223               0.00070046              -0.00364818
        20         7               0.00059511               0.00336476              -0.00331101              -0.00026609               0.00190728              -0.00286069
        20         8              -0.00163363              -0.00320125               0.00307938              -0.00040896              -0.00206536               0.00261420
        21         1              -0.00245559               0.00844315               0.00880480              -0.00058580               0.00619544               0.00703385
        21         2               0.00192241               0.00044300               0.01256254               0.00074479               0.00088228               0.00970721
        21         3               0.00353573               0.00205612               0.00623185               0.00253003               0.00178095               0.00507068
        21         4              -0.00221795               0.01155526               0.01151248               0.00015448               0.00870356               0.00921720
        21         5              -0.00981602               0.00360235               0.01402583              -0.00751353               0.00190297               0.01127226
        21         6              -0.00869341               0.00406656               0.00944655              -0.00675381               0.00344319               0.00774573
        21         7               0.00330309              -0.00041403               0.01424656               0.00288496               0.00004410               0.01103951
        21         8              -0.00849629               0.00253143               0.00457343              -0.00626017               0.00176773               0.00405976
        21         9              -0.00293127              -0.00451229              -0.00824901              -0.00267004              -0.00395724              -0.00691249
        21        10               0.00472533              -0.00509633              -0.01295993               0.00342061              -0.00316461              -0.01036968
        21        11               0.00619910              -0.00824830              -0.01382521               0.00365208              -0.00568012              -0.01065032
        21        12              -0.00239379              -0.00554347              -0.01590554              -0.00283245              -0.00490884              -0.01278381
        21        13              -0.00153913               0.00391360              -0.00686998              -0.00010266               0.00257217              -0.00533025
        21        14               0.00981311              -0.00629052              -0.00986535               0.00712545              -0.00475388              -0.00782217
        21        15               0.00172932              -0.00829034              -0.00938754               0.00035057              -0.00586940              -0.00734698
        21        16               0.00731536               0.00178381              -0.00434148               0.00585550               0.00104170              -0.00393050
        22         1               0.00000001               0.00000000               0.01908328              -0.00000000              -0.00000000               0.01799152
        22         2               0.00000000               0.00000000              -0.00178683               0.00000001               0.00000000               0.00121226
        22         3               0.00000000               0.00000000               0.00025030              -0.00000002              -0.00000000               0.00084848
        22         4              -0.00000001               0.00000000              -0.00025024               0.00000002               0.00000000              -0.00084848
        22         5               0.00000001               0.00000000               0.00178690              -0.00000001              -0.00000000              -0.00121226
        22         6              -0.00000001               0.00000000              -0.01908342               0.00000000               0.00000000              -0.01799152
        23         1               0.00978142              -0.01042791               0.00007306               0.00898569              -0.01243078               0.00105407
        23         2               0.00621307               0.00890592               0.00218017               0.01032661               0.01209903               0.00213333
        23         3              -0.01599450               0.00152199              -0.00225323              -0.01931230               0.00033175              -0.00318740
        24         1               0.00249566               0.00056786              -0.00056547               0.00116675               0.00037010               0.00015996
        24         2              -0.00097629              -0.00168168               0.00284887               0.00000073              -0.00110225               0.00166367
        24         3               0.00027296              -0.00171925              -0.00156778               0.00013315              -0.00146842              -0.00110871
        24         4               0.00027420              -0.00493792              -0.00125924               0.00028939              -0.00258938              -0.00073017
        24         5              -0.00435896               0.00106360               0.00438950              -0.00228453               0.00041277               0.00201851
        24         6              -0.00098269               0.00440003              -0.00014004              -0.00071934               0.00252436              -0.00002508
        24         7              -0.00183448               0.00369315               0.00119234              -0.00106065               0.00243615               0.00050280
        24         8               0.00510960              -0.00138579              -0.00489818               0.00247450              -0.00058333              -0.00248100
        25         1               0.00000000               0.00000000               0.00000002              -0.00000000               0.00000000              -0.00000000
        25         2               0.00000001               0.00000004               0.00126258              -0.00000000              -0.00000001              -0.00265877
        25         3               0.00000000              -0.00000004              -0.00126260               0.00000000               0.00000001               0.00265877
        26         1               0.00084902               0.00040180               0.00019617               0.00064400               0.00040613               0.00000812
        26         2               0.00023352               0.00075103              -0.00047476               0.00031704               0.00056021              -0.00043491
        26         3               0.00073177               0.00042423               0.00014941               0.00057618               0.00037451               0.00015943
        26         4              -0.00062699               0.00000694               0.00039320              -0.00045552               0.00012636               0.00046337
        26         5               0.00025088               0.00044161              -0.00025708               0.00020040               0.00037442              -0.00034395
        26         6              -0.00086142              -0.00089770              -0.00035322              -0.00086961              -0.00085058              -0.00031952
        26         7              -0.00000831              -0.00005455               0.00046469              -0.00002463              -0.00010315               0.00031244
        26         8              -0.00056848              -0.00107335              -0.00011841              -0.00038786              -0.00088790               0.00015501
        27         1               0.00000000               0.00000091              -0.00053754              -0.00000000              -0.00000000              -0.00467713
        27         2               0.00000000              -0.00000091              -0.00053755               0.00000000               0.00000000              -0.00467714
        27         3               0.00000000               0.00000091               0.00053755              -0.00000000              -0.00000000               0.00467714
        27         4               0.00000000              -0.00000091               0.00053754              -0.00000000               0.00000000               0.00467713
        28         1              -0.00430090               0.00701667               0.00393035              -0.00217190               0.00380103               0.00171164
        28         2              -0.00935142               0.01027749               0.01037839              -0.00593397               0.00409896               0.00544046
        28         3              -0.00290760              -0.00349892              -0.00178368              -0.00277002              -0.00131795              -0.00087689
        28         4              -0.00795579              -0.00236960               0.00757471              -0.00468628              -0.00199579               0.00397995
        28         5              -0.00455489               0.00318393               0.00300120              -0.00262168               0.00148516               0.00177961
        28         6              -0.00130651               0.00279593               0.00145591              -0.00041968               0.00107035               0.00050214
        28         7              -0.00083074               0.00025698              -0.00408398              -0.00107752               0.00211048              -0.00192019
        28         8              -0.00301164              -0.00231435              -0.00840931              -0.00367049              -0.00020382              -0.00448327
        28         9               0.01188225              -0.00748444              -0.01140294               0.00717227              -0.00267584              -0.00600300
        28        10               0.00407717              -0.00712241              -0.00571398               0.00121812              -0.00305268              -0.00290098
        28        11               0.00578954              -0.00209108              -0.00027944               0.00313092              -0.00223711              -0.00044016
        28        12               0.00562960               0.00055836               0.00511181               0.00314427               0.00035358               0.00370816
        28        13              -0.00168408              -0.00224582               0.00297788               0.00116840              -0.00101408               0.00125644
        28        14               0.00497597              -0.00709852              -0.00700810               0.00348303              -0.00245654              -0.00371521
        28        15              -0.00218071               0.00529074              -0.00325379               0.00061564               0.00132990              -0.00176960
        28        16               0.00572976               0.00484501               0.00750498               0.00341890               0.00070435               0.00373089
        29         1               0.00000000               0.00000000               0.00000000              -0.00000005               0.00000007               0.00000000
        29         2               0.00000000               0.00000000               0.00000000               0.00000005              -0.00000007              -0.00000000
        29         3               0.00000000               0.00000000               0.00000000               0.00000005               0.00000007              -0.00000000
        29         4               0.00000000               0.00000000               0.00000000              -0.00000005              -0.00000007              -0.00000000
        30         1               0.00000000               0.00000000               0.00000000               0.00000000               0.00000000              -0.00000000
        31         1              -0.01054998              -0.01817639               0.04192318              -0.00816142              -0.01388464               0.04152643
        31         2              -0.00193850               0.00212876               0.01435463              -0.00276055              -0.00385588               0.00708645
        31         3               0.01824049              -0.01629793               0.01508078               0.02688250              -0.02085828               0.01332845
        31         4               0.01803147               0.04337039               0.00523920               0.01957823               0.05124435               0.00714761
        31         5              -0.02130633               0.03664794               0.03929501              -0.02228317               0.04800411               0.03723013
        31         6               0.00763636              -0.02338071              -0.03125825               0.00973773              -0.02191595              -0.02917210
        31         7              -0.02989151              -0.03820796              -0.02440246              -0.03614496              -0.04260266              -0.02804908
        31         8               0.00896506               0.02358165              -0.00173151               0.00419401               0.02451305               0.00218857
        31         9               0.04803733              -0.00785829              -0.01434177               0.06008293              -0.01134333              -0.01646843
        31        10               0.01192783               0.03691681               0.00020719               0.00714278               0.03896358              -0.00138312
        31        11              -0.00576308              -0.02726596              -0.00511547              -0.00285033              -0.02469864              -0.00712403
        31        12               0.02247296               0.02074563               0.02690767               0.03596346               0.02292337               0.03284944
        31        13              -0.06074716              -0.01268031               0.01947119              -0.06665765              -0.01532910               0.02527928
        31        14              -0.00684430               0.00931971              -0.02111659              -0.01037081               0.01183241              -0.02231303
        31        15               0.01904589              -0.01839007              -0.04695332               0.01433632              -0.03084388              -0.04708996
        31        16              -0.01731655              -0.01045325              -0.01755948              -0.02868908              -0.01214851              -0.01503663
        32         1               0.00378854               0.00791980              -0.05584603               0.00255820               0.00118047              -0.05528568
        32         2              -0.00261600              -0.00680498              -0.00089712              -0.00120375              -0.00490003              -0.00159829
        32         3               0.00604100               0.00229463               0.02273149               0.00341288               0.00132144               0.02318142
        32         4              -0.00721354              -0.00340945               0.03401167              -0.00476733               0.00239813               0.03370255
        33         1               0.00018827              -0.00000418              -0.00011700               0.00015411              -0.00013550              -0.00063150
        33         2              -0.00025399              -0.00021051               0.00000228              -0.00001436               0.00012464               0.00054920
        33         3              -0.00034514              -0.00065226              -0.00018351              -0.00039088              -0.00055752               0.00035660
        33         4              -0.00039523               0.00059725               0.00001692              -0.00037874               0.00057440               0.00060790
        33         5              -0.00081324              -0.00040652               0.00039329              -0.00075925              -0.00040187              -0.00015835
        33         6               0.00042489               0.00029820              -0.00009144               0.00031223               0.00009611              -0.00061417
        33         7               0.00029750               0.00016911               0.00015058               0.00025873               0.00009633              -0.00041746
        33         8               0.00089694               0.00020890              -0.00017111               0.00081816               0.00020340               0.00030779
        34         1              -0.00000001               0.00000000              -0.04878992               0.00000000               0.00000000              -0.05845231
        34         2               0.00000000               0.00000000               0.00000051              -0.00000000              -0.00000000              -0.00000000
        34         3               0.00000000               0.00000000               0.04878941               0.00000000               0.00000000               0.05845231
        35         1              -0.00118603              -0.00242445               0.00332418              -0.00014584              -0.00132423               0.00243256
        35         2              -0.00476760               0.00205121              -0.00040000              -0.00263255               0.00163189              -0.00084391
        35         3              -0.00243217              -0.00060882               0.00154676              -0.00119926               0.00093296              -0.00009023
        35         4              -0.00019374               0.00316655              -0.00337916              -0.00021769               0.00192962              -0.00187765
        35         5               0.00283796              -0.00468443               0.00377944               0.00165541              -0.00278736               0.00242074
        35         6               0.00658778              -0.00302196               0.00117990               0.00368560              -0.00259600               0.00105954
        35         7               0.00155467               0.00082114               0.00015695               0.00077227              -0.00031463               0.00099663
        35         8              -0.00240087               0.00470077              -0.00620807              -0.00191794               0.00252775              -0.00409769
        36         1              -0.00000001               0.00000000               0.00670998              -0.00000000              -0.00000000               0.00834665
        36         2               0.00000000               0.00000000               0.00407031               0.00000000               0.00000000               0.00402793
        36         3               0.00000000               0.00000000               0.00026589              -0.00000000              -0.00000000              -0.00082432
        36         4               0.00000001               0.00000001              -0.00026589               0.00000000               0.00000000               0.00082432
        36         5               0.00000000               0.00000000              -0.00407031              -0.00000000              -0.00000000              -0.00402793
        36         6               0.00000000              -0.00000001              -0.00670998               0.00000000               0.00000000              -0.00834665
        37         1               0.00000000               0.00000056              -0.00014742               0.00000000               0.00000000              -0.00010065
        37         2               0.00000000               0.00000001               0.00029485              -0.00000000               0.00000000               0.00020131
        37         3               0.00000000              -0.00000057              -0.00014743              -0.00000000              -0.00000000              -0.00010065
        38         1               0.00000000               0.00000000              -0.01312655               0.00000000               0.00000000              -0.01688799
        38         2               0.00000000              -0.00000001              -0.00628356              -0.00000000               0.00000000              -0.00551486
        38         3               0.00000001               0.00000000              -0.00083548               0.00000000              -0.00000000               0.00332587
        38         4              -0.00000001               0.00000000               0.00083547              -0.00000000               0.00000000              -0.00332587
        38         5               0.00000001               0.00000000               0.00628357               0.00000000              -0.00000000               0.00551486
        38         6               0.00000000               0.00000000               0.01312655              -0.00000000               0.00000000               0.01688799
        39         1               0.00019064               0.00008888              -0.00024678              -0.00009952              -0.00001764              -0.00001655
        39         2              -0.00012581              -0.00009940              -0.00032436              -0.00041767              -0.00044488              -0.00073685
        39         3              -0.00159406               0.00004892               0.00100863              -0.00055241               0.00043656               0.00067114
        39         4               0.00331111               0.00041905              -0.00086646               0.00199574               0.00043614              -0.00030591
        39         5              -0.00023852              -0.00083469              -0.00103957              -0.00013574               0.00009669              -0.00038502
        39         6               0.00010785               0.00061492              -0.00054097              -0.00016452              -0.00003718               0.00018116
        39         7              -0.00070909              -0.00002578              -0.00321676              -0.00091459              -0.00031717              -0.00220362
        39         8               0.00055151              -0.00086146               0.00195148               0.00018971              -0.00055322               0.00076613
        39         9               0.00034887              -0.00051149               0.00031846               0.00022270              -0.00061532              -0.00020699
        39        10               0.00012164               0.00003574              -0.00003643               0.00007434               0.00073109              -0.00030135
        39        11              -0.00172056               0.00049663               0.00098009              -0.00076399               0.00031280               0.00027975
        39        12               0.00132497              -0.00009186              -0.00023464               0.00045830               0.00011682               0.00046272
        39        13              -0.00008002               0.00269632              -0.00086381               0.00004517               0.00167717               0.00007599
        39        14               0.00036457              -0.00102476              -0.00045024               0.00042489               0.00007547              -0.00015043
        39        15               0.00019864               0.00036885               0.00077647              -0.00031418               0.00005049               0.00119998
        39        16               0.00054603              -0.00010149               0.00153710              -0.00020396              -0.00035927               0.00066070
        39        17              -0.00043670              -0.00041837              -0.00027042               0.00016417              -0.00006544               0.00026156
        39        18               0.00065276               0.00017571              -0.00037072               0.00025937               0.00003236              -0.00052581
        39        19              -0.00343696               0.00026836               0.00016524              -0.00224815              -0.00038133               0.00108833
        39        20               0.00506801              -0.00032665              -0.00034789               0.00375766              -0.00041648               0.00023504
        39        21              -0.00029028              -0.00187035               0.00012824              -0.00017234              -0.00137461              -0.00030953
        39        22               0.00017882               0.00210565               0.00031702               0.00021329               0.00121511              -0.00026354
        39        23              -0.00013626              -0.00034731              -0.00335378              -0.00050828               0.00032093              -0.00236727
        39        24              -0.00002000              -0.00076469               0.00317158               0.00000556               0.00039441               0.00203181
        39        25              -0.00040128               0.00043679              -0.00002715              -0.00033726               0.00008456              -0.00088416
        39        26               0.00033693               0.00028414              -0.00040074               0.00008006               0.00013917              -0.00048542
        39        27              -0.00006507               0.00047727              -0.00023882               0.00039411               0.00006331              -0.00021040
        39        28               0.00068617               0.00008966              -0.00022894               0.00090370               0.00038494              -0.00044238
        39        29               0.00004295               0.00234280               0.00038336               0.00030807               0.00114137               0.00032972
        39        30              -0.00069687              -0.00373005               0.00001075               0.00001018              -0.00280111               0.00024372
        39        31              -0.00026750              -0.00010621              -0.00120348               0.00029149              -0.00035938               0.00029573
        39        32               0.00031141              -0.00012161               0.00158128               0.00022819               0.00006682               0.00008658
        39        33              -0.00008045               0.00024088              -0.00036035              -0.00016162              -0.00018753              -0.00038044
        39        34              -0.00011744              -0.00023815              -0.00057563               0.00023233              -0.00053214              -0.00036942
        39        35              -0.00217218              -0.00045754               0.00043833              -0.00082627              -0.00049549              -0.00000879
        39        36               0.00005476               0.00029283               0.00080539              -0.00083438              -0.00007419               0.00072637
        39        37               0.00069958               0.00078939               0.00037600               0.00058982               0.00076239               0.00063657
        39        38               0.00044349              -0.00136420               0.00026879               0.00037615              -0.00130995               0.00057965
        39        39              -0.00000392               0.00029666              -0.00233585               0.00031017               0.00030745              -0.00093344
        39        40              -0.00045116              -0.00018198               0.00357576              -0.00023235               0.00050881               0.00247930
        39        41              -0.00046274              -0.00027557               0.00021917              -0.00039704              -0.00068397               0.00000488
        39        42               0.00022325              -0.00024070               0.00010214               0.00069846              -0.00003551              -0.00064722
        39        43              -0.00269194               0.00071637               0.00006976              -0.00089080               0.00028611               0.00008154
        39        44               0.00325039               0.00073926               0.00026755               0.00128575               0.00049285               0.00024342
        39        45              -0.00006557               0.00074531               0.00019129              -0.00006755               0.00047201              -0.00014291
